CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
22032896,THEFT MISD. (UNDER $950),07/19/2022 12:00:00 AM,1:02:00 PM,LARCENY,2,10/13/2022 04:42:00 PM,"2400 BLOCK BANCROFT WAY
Berkeley, CA
(37.86845, -122.26127)",2400 BLOCK BANCROFT WAY,Berkeley,CA
22034225,DISTURBANCE,07/27/2022 12:00:00 AM,12:05:00 PM,DISORDERLY CONDUCT,3,10/13/2022 04:42:00 PM,"2200 BLOCK CARLETON ST
Berkeley, CA
(37.86161, -122.26436)",2200 BLOCK CARLETON ST,Berkeley,CA
22044210,VEHICLE STOLEN,09/20/2022 12:00:00 AM,8:00:00 PM,MOTOR VEHICLE THEFT,2,10/13/2022 04:42:00 PM,"1100 BLOCK HOPKINS ST
Berkeley, CA
(37.87576, -122.29299)",1100 BLOCK HOPKINS ST,Berkeley,CA
22046082,2ND RESPONSE,09/30/2022 12:00:00 AM,11:42:00 PM,NOISE VIOLATION,5,10/13/2022 04:42:00 PM,"2700 BLOCK CHANNING WAY
Berkeley, CA
(37.86751, -122.25405)",2700 BLOCK CHANNING WAY,Berkeley,CA
22037211,ASSAULT/BATTERY MISD.,08/14/2022 12:00:00 AM,3:25:00 PM,ASSAULT,0,10/13/2022 04:42:00 PM,"2000 BLOCK CENTER ST
Berkeley, CA
(37.86996, -122.27058)",2000 BLOCK CENTER ST,Berkeley,CA
22036420,BURGLARY AUTO,08/09/2022 12:00:00 AM,5:30:00 PM,BURGLARY - VEHICLE,2,10/13/2022 04:42:00 PM,"2300 BLOCK 4TH ST
Berkeley, CA
(37.86281, -122.29832)",2300 BLOCK 4TH ST,Berkeley,CA
22091289,THEFT FELONY (OVER $950),09/30/2022 12:00:00 AM,4:05:00 PM,LARCENY,5,10/13/2022 04:42:00 PM,"800 BLOCK SANTA BARBARA RD
Berkeley, CA
(37.89515, -122.27066)",800 BLOCK SANTA BARBARA RD,Berkeley,CA
22031037,FRAUD/FORGERY,06/24/2022 12:00:00 AM,12:00:00 PM,FRAUD,5,10/13/2022 04:42:00 PM,"2000 BLOCK SAN PABLO AVE
Berkeley, CA
(37.86881, -122.29212)",2000 BLOCK SAN PABLO AVE,Berkeley,CA
22025648,ASSAULT/BATTERY MISD.,06/04/2022 12:00:00 AM,8:50:00 AM,ASSAULT,6,10/13/2022 04:42:00 PM,"1200 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.86941, -122.28936)",1200 BLOCK UNIVERSITY AVE,Berkeley,CA
22046811,GUN/WEAPON,10/05/2022 12:00:00 AM,7:43:00 AM,WEAPONS OFFENSE,3,10/13/2022 04:42:00 PM,"1980 ALLSTON WAY
Berkeley, CA
(37.86899, -122.27091)",1980 ALLSTON WAY,Berkeley,CA
22044805,ARSON,09/24/2022 12:00:00 AM,4:15:00 AM,ARSON,6,10/13/2022 04:42:00 PM,"1800 BLOCK 5TH ST
Berkeley, CA
(37.8702, -122.29962)",1800 BLOCK 5TH ST,Berkeley,CA
22091137,BURGLARY AUTO,09/08/2022 12:00:00 AM,8:00:00 PM,BURGLARY - VEHICLE,4,10/13/2022 04:42:00 PM,"2000 BLOCK FRANCISCO ST
Berkeley, CA
(37.87542, -122.27093)",2000 BLOCK FRANCISCO ST,Berkeley,CA
22090848,THEFT FELONY (OVER $950),07/18/2022 12:00:00 AM,1:00:00 AM,LARCENY,1,10/13/2022 04:42:00 PM,"2100 BLOCK CURTIS ST
Berkeley, CA
(37.86836, -122.28932)",2100 BLOCK CURTIS ST,Berkeley,CA
22091055,THEFT FELONY (OVER $950),08/26/2022 12:00:00 AM,6:00:00 PM,LARCENY,5,10/13/2022 04:42:00 PM,"100 BLOCK SEAWALL DR
Berkeley, CA
(37.86203, -122.31701)",100 BLOCK SEAWALL DR,Berkeley,CA
22027189,MISSING ADULT,06/11/2022 12:00:00 AM,8:00:00 PM,MISSING PERSON,6,10/13/2022 04:42:00 PM,"500 BLOCK CRAGMONT AVE
Berkeley, CA
(37.90254, -122.2695)",500 BLOCK CRAGMONT AVE,Berkeley,CA
22044995,BURGLARY COMMERCIAL,09/25/2022 12:00:00 AM,6:00:00 AM,BURGLARY - COMMERCIAL,0,10/13/2022 04:42:00 PM,"1000 BLOCK GILMAN ST
Berkeley, CA
(37.8801, -122.29768)",1000 BLOCK GILMAN ST,Berkeley,CA
22033500,THEFT FROM AUTO,07/22/2022 12:00:00 AM,2:25:00 PM,LARCENY - FROM VEHICLE,5,10/13/2022 04:42:00 PM,"1700 BLOCK OXFORD ST
Berkeley, CA
(37.87674, -122.26665)",1700 BLOCK OXFORD ST,Berkeley,CA
22023964,BRANDISHING,05/25/2022 12:00:00 AM,3:30:00 AM,WEAPONS OFFENSE,3,10/13/2022 04:42:00 PM,"2900 BLOCK MARTIN LUTHER KING JR WAY
Berkeley, CA
(37.85597, -122.27131)",2900 BLOCK MARTIN LUTHER KING JR WAY,Berkeley,CA
22091219,VANDALISM,09/19/2022 12:00:00 AM,9:00:00 AM,VANDALISM,1,10/13/2022 04:42:00 PM,"2100 BLOCK MCGEE AVE
Berkeley, CA
(37.86987, -122.27739)",2100 BLOCK MCGEE AVE,Berkeley,CA
22029974,IDENTITY THEFT,06/26/2022 12:00:00 AM,10:00:00 AM,FRAUD,0,10/13/2022 04:42:00 PM,"900 BLOCK OXFORD ST
Berkeley, CA
(37.89149, -122.27007)",900 BLOCK OXFORD ST,Berkeley,CA
22045696,THEFT FELONY (OVER $950),09/29/2022 12:00:00 AM,6:05:00 AM,LARCENY,4,10/13/2022 04:42:00 PM,"1500 BLOCK KEONCREST DR
Berkeley, CA
(37.8785, -122.28374)",1500 BLOCK KEONCREST DR,Berkeley,CA
22029067,VEHICLE STOLEN,06/25/2022 12:00:00 AM,2:56:00 AM,MOTOR VEHICLE THEFT,6,10/13/2022 04:42:00 PM,"1400 BLOCK HAWTHORNE TER
Berkeley, CA
(37.88249, -122.26182)",1400 BLOCK HAWTHORNE TER,Berkeley,CA
22036298,DISTURBANCE,08/09/2022 12:00:00 AM,12:16:00 AM,DISORDERLY CONDUCT,2,10/13/2022 04:42:00 PM,"1900 BLOCK WOOLSEY ST
Berkeley, CA
(37.85192, -122.26975)",1900 BLOCK WOOLSEY ST,Berkeley,CA
22090566,THEFT FROM AUTO,05/05/2022 12:00:00 AM,11:00:00 PM,LARCENY - FROM VEHICLE,4,10/13/2022 04:42:00 PM,"900 BLOCK PARKER ST
Berkeley, CA
(37.85847, -122.29335)",900 BLOCK PARKER ST,Berkeley,CA
22090898,THEFT FELONY (OVER $950),07/25/2022 12:00:00 AM,4:15:00 PM,LARCENY,1,10/13/2022 04:42:00 PM,"2300 BLOCK WARRING ST
Berkeley, CA
(37.86912, -122.25089)",2300 BLOCK WARRING ST,Berkeley,CA
22033644,DISTURBANCE,07/23/2022 12:00:00 AM,5:21:00 PM,DISORDERLY CONDUCT,6,10/13/2022 04:42:00 PM,"2200 BLOCK SHATTUCK AVE
Berkeley, CA
(37.8691, -122.26808)",2200 BLOCK SHATTUCK AVE,Berkeley,CA
22017517,DOMESTIC VIOLENCE,04/16/2022 12:00:00 AM,12:00:00 PM,FAMILY OFFENSE,6,10/13/2022 04:42:00 PM,"600 BLOCK ADDISON ST
Berkeley, CA
(37.86575, -122.30193)",600 BLOCK ADDISON ST,Berkeley,CA
22037266,DISTURBANCE,08/14/2022 12:00:00 AM,8:32:00 PM,DISORDERLY CONDUCT,0,10/13/2022 04:42:00 PM,"7TH ST /  CARLETON ST
Berkeley, CA
(37.85694, -122.29301)",7TH ST /  CARLETON ST,Berkeley,CA
22019483,NARCOTICS,04/28/2022 12:00:00 AM,12:22:00 PM,DRUG VIOLATION,4,10/13/2022 04:42:00 PM,"DWIGHT WAY /  TELEGRAPH AVE
Berkeley, CA
(37.86511, -122.25848)",DWIGHT WAY /  TELEGRAPH AVE,Berkeley,CA
22030881,BURGLARY RESIDENTIAL,07/06/2022 12:00:00 AM,4:09:00 PM,BURGLARY - RESIDENTIAL,3,10/13/2022 04:42:00 PM,"2800 BLOCK SHATTUCK AVE
Berkeley, CA
(37.85838, -122.2669)",2800 BLOCK SHATTUCK AVE,Berkeley,CA
22029809,THEFT FROM AUTO,06/29/2022 12:00:00 AM,6:15:00 PM,LARCENY - FROM VEHICLE,3,10/13/2022 04:42:00 PM,"2900 BLOCK SHATTUCK AVE
Berkeley, CA
(37.85553, -122.26655)",2900 BLOCK SHATTUCK AVE,Berkeley,CA
22027870,ASSAULT/BATTERY MISD.,06/18/2022 12:00:00 AM,12:09:00 AM,ASSAULT,6,10/13/2022 04:42:00 PM,"2200 DURANT AVE
Berkeley, CA
(37.8667, -122.26557)",2200 DURANT AVE,Berkeley,CA
22028474,ASSAULT/BATTERY MISD.,06/21/2022 12:00:00 AM,6:30:00 PM,ASSAULT,2,10/13/2022 04:42:00 PM,"1100 BLOCK DELAWARE ST
Berkeley, CA
(37.8717, -122.29273)",1100 BLOCK DELAWARE ST,Berkeley,CA
22038110,VANDALISM,08/19/2022 12:00:00 AM,8:55:00 AM,VANDALISM,5,10/13/2022 04:42:00 PM,"1800 BLOCK 6TH ST
Berkeley, CA
(37.87025, -122.29843)",1800 BLOCK 6TH ST,Berkeley,CA
22091267,THEFT FELONY (OVER $950),09/23/2022 12:00:00 AM,7:05:00 AM,LARCENY,5,10/13/2022 04:42:00 PM,"1600 BLOCK CORNELL AVE
Berkeley, CA
(37.87543, -122.29141)",1600 BLOCK CORNELL AVE,Berkeley,CA
22047058,NARCOTICS,10/06/2022 12:00:00 AM,9:02:00 AM,DRUG VIOLATION,4,10/13/2022 04:42:00 PM,"2100 BLOCK ASHBY AVE
Berkeley, CA
(37.85531, -122.26635)",2100 BLOCK ASHBY AVE,Berkeley,CA
22040817,THEFT FELONY (OVER $950),09/02/2022 12:00:00 AM,6:40:00 PM,LARCENY,5,10/13/2022 04:42:00 PM,"1000 BLOCK GILMAN ST
Berkeley, CA
(37.8801, -122.29768)",1000 BLOCK GILMAN ST,Berkeley,CA
22024956,ASSAULT/BATTERY MISD.,05/31/2022 12:00:00 AM,1:50:00 AM,ASSAULT,2,10/13/2022 04:42:00 PM,"900 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.86828, -122.296)",900 BLOCK UNIVERSITY AVE,Berkeley,CA
22045216,DISTURBANCE,09/26/2022 12:00:00 AM,1:10:00 PM,DISORDERLY CONDUCT,1,10/13/2022 04:42:00 PM,"2100 BLOCK SHATTUCK AVE
Berkeley, CA
(37.87089, -122.26826)",2100 BLOCK SHATTUCK AVE,Berkeley,CA
22091334,THEFT FELONY (OVER $950),10/01/2022 12:00:00 AM,9:00:00 PM,LARCENY,6,10/13/2022 04:42:00 PM,"1700 BLOCK OREGON ST
Berkeley, CA
(37.85658, -122.27506)",1700 BLOCK OREGON ST,Berkeley,CA
22090786,THEFT MISD. (UNDER $950),06/30/2022 12:00:00 AM,7:05:00 PM,LARCENY,4,10/13/2022 04:42:00 PM,"2000 BLOCK CENTER ST
Berkeley, CA
(37.86996, -122.27058)",2000 BLOCK CENTER ST,Berkeley,CA
22018551,DISTURBANCE,04/23/2022 12:00:00 AM,12:05:00 AM,DISORDERLY CONDUCT,6,10/13/2022 04:42:00 PM,"2312 BLAKE ST
Berkeley, CA
(37.86373, -122.26218)",2312 BLAKE ST,Berkeley,CA
22090781,THEFT MISD. (UNDER $950),06/30/2022 12:00:00 AM,5:25:00 AM,LARCENY,4,10/13/2022 04:42:00 PM,"1400 BLOCK 5TH ST
Berkeley, CA
(37.87726, -122.30187)",1400 BLOCK 5TH ST,Berkeley,CA
22037777,THEFT FELONY (OVER $950),08/10/2022 12:00:00 AM,10:00:00 AM,LARCENY,3,10/13/2022 04:42:00 PM,"900 BLOCK DWIGHT WAY
Berkeley, CA
(37.86023, -122.29389)",900 BLOCK DWIGHT WAY,Berkeley,CA
22027146,ASSAULT/BATTERY MISD.,06/13/2022 12:00:00 AM,4:51:00 PM,ASSAULT,1,10/13/2022 04:42:00 PM,"1000 BLOCK GILMAN ST
Berkeley, CA
(37.8801, -122.29768)",1000 BLOCK GILMAN ST,Berkeley,CA
22027410,NARCOTICS,06/15/2022 12:00:00 AM,12:12:00 PM,DRUG VIOLATION,3,10/13/2022 04:42:00 PM,"SHATTUCK AVE / ADDISON ST
Berkeley, CA
(37.87115, -122.26829)",SHATTUCK AVE / ADDISON ST,Berkeley,CA
22090926,IDENTITY THEFT,08/04/2022 12:00:00 AM,9:00:00 AM,FRAUD,4,10/13/2022 04:42:00 PM,"1500 BLOCK HENRY ST
Berkeley, CA
(37.87994, -122.27056)",1500 BLOCK HENRY ST,Berkeley,CA
22090666,BURGLARY RESIDENTIAL,05/31/2022 12:00:00 AM,7:00:00 PM,BURGLARY - RESIDENTIAL,2,10/13/2022 04:42:00 PM,"2100 BLOCK EMERSON ST
Berkeley, CA
(37.85454, -122.26625)",2100 BLOCK EMERSON ST,Berkeley,CA
22039858,BURGLARY AUTO,08/27/2022 12:00:00 AM,9:50:00 PM,BURGLARY - VEHICLE,6,10/13/2022 04:42:00 PM,"2000 BLOCK ALLSTON WAY
Berkeley, CA
(37.8691, -122.27008)",2000 BLOCK ALLSTON WAY,Berkeley,CA
22035194,VEHICLE STOLEN,07/31/2022 12:00:00 AM,11:00:00 PM,MOTOR VEHICLE THEFT,0,10/13/2022 04:42:00 PM,"VINE ST /  MILVIA ST
Berkeley, CA
(37.87993, -122.27159)",VINE ST /  MILVIA ST,Berkeley,CA
22026695,BURGLARY RESIDENTIAL,06/10/2022 12:00:00 AM,1:30:00 PM,BURGLARY - RESIDENTIAL,5,10/13/2022 04:42:00 PM,"2201 BONAR ST
Berkeley, CA
(37.86675, -122.28689)",2201 BONAR ST,Berkeley,CA
22046673,THEFT FELONY (OVER $950),09/03/2022 12:00:00 AM,12:00:00 PM,LARCENY,6,10/13/2022 04:42:00 PM,"3100 BLOCK KING ST
Berkeley, CA
(37.85193, -122.27406)",3100 BLOCK KING ST,Berkeley,CA
22042971,ROBBERY,09/14/2022 12:00:00 AM,4:56:00 PM,ROBBERY,3,10/13/2022 04:42:00 PM,"2400 BLOCK MILVIA ST
Berkeley, CA
(37.86532, -122.27004)",2400 BLOCK MILVIA ST,Berkeley,CA
22045579,ASSAULT/BATTERY MISD.,09/28/2022 12:00:00 AM,1:01:00 PM,ASSAULT,3,10/13/2022 04:42:00 PM,"2700 BLOCK MARTIN LUTHER KING JR WAY
Berkeley, CA
(37.85963, -122.2717)",2700 BLOCK MARTIN LUTHER KING JR WAY,Berkeley,CA
22018849,THEFT MISD. (UNDER $950),04/24/2022 12:00:00 AM,1:50:00 PM,LARCENY,0,10/13/2022 04:42:00 PM,"2600 BLOCK TELEGRAPH AVE
Berkeley, CA
(37.86292, -122.25875)",2600 BLOCK TELEGRAPH AVE,Berkeley,CA
22041514,VANDALISM,09/06/2022 12:00:00 AM,12:45:00 PM,VANDALISM,2,10/13/2022 04:42:00 PM,"1800 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.87125, -122.27499)",1800 BLOCK UNIVERSITY AVE,Berkeley,CA
22022310,THEFT MISD. (UNDER $950),05/14/2022 12:00:00 AM,12:45:00 PM,LARCENY,6,10/13/2022 04:42:00 PM,"BANCROFT WAY /  TELEGRAPH AVE
Berkeley, CA
(37.86873, -122.25921)",BANCROFT WAY /  TELEGRAPH AVE,Berkeley,CA
22090750,THEFT FELONY (OVER $950),06/19/2022 12:00:00 AM,6:10:00 PM,LARCENY,0,10/13/2022 04:42:00 PM,"100 BLOCK SPINNAKER WAY
Berkeley, CA
(37.87013, -122.3173)",100 BLOCK SPINNAKER WAY,Berkeley,CA
22045050,BURGLARY AUTO,09/25/2022 12:00:00 AM,12:19:00 PM,BURGLARY - VEHICLE,0,10/13/2022 04:42:00 PM,"2600 BLOCK SHATTUCK AVE
Berkeley, CA
(37.86201, -122.26719)",2600 BLOCK SHATTUCK AVE,Berkeley,CA
22046015,BURGLARY RESIDENTIAL,09/28/2022 12:00:00 AM,4:10:00 PM,BURGLARY - RESIDENTIAL,3,10/13/2022 04:42:00 PM,"2500 BLOCK PARKER ST
Berkeley, CA
(37.86338, -122.25744)",2500 BLOCK PARKER ST,Berkeley,CA
22023002,DISTURBANCE,05/18/2022 12:00:00 AM,2:30:00 PM,DISORDERLY CONDUCT,3,10/13/2022 04:42:00 PM,"2200 BLOCK BONAR ST
Berkeley, CA
(37.86682, -122.2869)",2200 BLOCK BONAR ST,Berkeley,CA
22044080,FRAUD/FORGERY,09/09/2022 12:00:00 AM,12:00:00 AM,FRAUD,5,10/13/2022 04:42:00 PM,"500 BLOCK SANTA CLARA AVE
Berkeley, CA
(37.89926, -122.27977)",500 BLOCK SANTA CLARA AVE,Berkeley,CA
22036942,SEXUAL ASSAULT MISD.,08/12/2022 12:00:00 AM,6:05:00 PM,SEX CRIME,5,10/13/2022 04:42:00 PM,"1800 BLOCK CATALINA AVE
Berkeley, CA
(37.89212, -122.27983)",1800 BLOCK CATALINA AVE,Berkeley,CA
22029914,THEFT MISD. (UNDER $950),06/30/2022 12:00:00 AM,1:30:00 PM,LARCENY,4,10/13/2022 04:42:00 PM,"2500 BLOCK TELEGRAPH AVE
Berkeley, CA
(37.86441, -122.25852)",2500 BLOCK TELEGRAPH AVE,Berkeley,CA
22090544,THEFT FELONY (OVER $950),04/27/2022 12:00:00 AM,4:15:00 AM,LARCENY,3,10/13/2022 04:42:00 PM,"1400 BLOCK SHATTUCK PL
Berkeley, CA
(37.88182, -122.27039)",1400 BLOCK SHATTUCK PL,Berkeley,CA
22043115,THEFT MISD. (UNDER $950),09/15/2022 12:00:00 AM,12:54:00 PM,LARCENY,4,10/13/2022 04:42:00 PM,"1400 BLOCK SHATTUCK AVE
Berkeley, CA
(37.8819, -122.26952)",1400 BLOCK SHATTUCK AVE,Berkeley,CA
22045509,THEFT FROM AUTO,09/28/2022 12:00:00 AM,2:40:00 AM,LARCENY - FROM VEHICLE,3,10/13/2022 04:42:00 PM,"1700 BLOCK DWIGHT WAY
Berkeley, CA
(37.86281, -122.27632)",1700 BLOCK DWIGHT WAY,Berkeley,CA
22091067,THEFT FELONY (OVER $950),08/29/2022 12:00:00 AM,4:00:00 PM,LARCENY,1,10/13/2022 04:42:00 PM,"100 BLOCK ALVARADO RD
Berkeley, CA
(37.85771, -122.23986)",100 BLOCK ALVARADO RD,Berkeley,CA
22091111,THEFT FELONY (OVER $950),09/06/2022 12:00:00 AM,1:00:00 AM,LARCENY,2,10/13/2022 04:42:00 PM,"2400 BLOCK CALIFORNIA ST
Berkeley, CA
(37.86416, -122.2791)",2400 BLOCK CALIFORNIA ST,Berkeley,CA
22037674,BURGLARY AUTO,08/15/2022 12:00:00 AM,9:06:00 PM,BURGLARY - VEHICLE,1,10/13/2022 04:42:00 PM,"2100 BLOCK SAN PABLO AVE
Berkeley, CA
(37.8675, -122.2917)",2100 BLOCK SAN PABLO AVE,Berkeley,CA
22031187,ASSAULT/BATTERY MISD.,07/07/2022 12:00:00 AM,5:10:00 PM,ASSAULT,4,10/13/2022 04:42:00 PM,"CLAREMONT AVE /  ALCATRAZ AVE
Berkeley, CA
(37.8518, -122.25038)",CLAREMONT AVE /  ALCATRAZ AVE,Berkeley,CA
22034941,VEHICLE STOLEN,07/31/2022 12:00:00 AM,8:28:00 PM,MOTOR VEHICLE THEFT,0,10/13/2022 04:42:00 PM,"2299 PIEDMONT AVE
Berkeley, CA
(37.86939, -122.25217)",2299 PIEDMONT AVE,Berkeley,CA
22032271,IDENTITY THEFT,07/15/2022 12:00:00 AM,1:30:00 PM,FRAUD,5,10/13/2022 04:42:00 PM,"2100 BLOCK EMERSON ST
Berkeley, CA
(37.85454, -122.26625)",2100 BLOCK EMERSON ST,Berkeley,CA
22026137,ROBBERY,06/07/2022 12:00:00 AM,2:45:00 PM,ROBBERY,2,10/13/2022 04:42:00 PM,"2600 BLOCK MCGEE AVE
Berkeley, CA
(37.86092, -122.27613)",2600 BLOCK MCGEE AVE,Berkeley,CA
22046104,THEFT FROM AUTO,10/01/2022 12:00:00 AM,2:45:00 AM,LARCENY - FROM VEHICLE,6,10/13/2022 04:42:00 PM,"PARKER ST /  MARTIN LUTHER KING JR WAY
Berkeley, CA
(37.86155, -122.27192)",PARKER ST /  MARTIN LUTHER KING JR WAY,Berkeley,CA
22090670,THEFT MISD. (UNDER $950),05/23/2022 12:00:00 AM,11:00:00 PM,LARCENY,1,10/13/2022 04:42:00 PM,"1300 BLOCK CEDAR ST
Berkeley, CA
(37.87579, -122.28691)",1300 BLOCK CEDAR ST,Berkeley,CA
22036838,THEFT FROM AUTO,08/11/2022 12:00:00 AM,7:30:00 PM,LARCENY - FROM VEHICLE,4,10/13/2022 04:42:00 PM,"RUSSELL ST /  WALLACE ST
Berkeley, CA
(37.85375, -122.2863)",RUSSELL ST /  WALLACE ST,Berkeley,CA
22046592,DISTURBANCE,10/04/2022 12:00:00 AM,2:30:00 AM,DISORDERLY CONDUCT,2,10/13/2022 04:42:00 PM,"2700 BLOCK CHANNING WAY
Berkeley, CA
(37.86751, -122.25405)",2700 BLOCK CHANNING WAY,Berkeley,CA
22041724,VEHICLE STOLEN,09/07/2022 12:00:00 AM,6:42:00 PM,MOTOR VEHICLE THEFT,3,10/13/2022 04:42:00 PM,"2500 BLOCK SAN PABLO AVE
Berkeley, CA
(37.86081, -122.28956)",2500 BLOCK SAN PABLO AVE,Berkeley,CA
22091202,IDENTITY THEFT,06/23/2022 12:00:00 AM,2:00:00 PM,FRAUD,4,10/13/2022 04:42:00 PM,"1100 BLOCK COLUSA AVE
Berkeley, CA
(37.88708, -122.27834)",1100 BLOCK COLUSA AVE,Berkeley,CA
22020384,FRAUD/FORGERY,05/01/2022 12:00:00 AM,7:00:00 PM,FRAUD,0,10/13/2022 04:42:00 PM,"2200 BLOCK ACTON ST
Berkeley, CA
(37.86694, -122.2839)",2200 BLOCK ACTON ST,Berkeley,CA
22024045,DISTURBANCE,05/25/2022 12:00:00 AM,3:36:00 PM,DISORDERLY CONDUCT,3,10/13/2022 04:42:00 PM,"2500 BLOCK HASTE ST
Berkeley, CA
(37.86605, -122.25848)",2500 BLOCK HASTE ST,Berkeley,CA
22044997,THEFT FROM AUTO,09/25/2022 12:00:00 AM,6:30:00 AM,LARCENY - FROM VEHICLE,0,10/13/2022 04:42:00 PM,"1100 BLOCK CHAUCER ST
Berkeley, CA
(37.86366, -122.29015)",1100 BLOCK CHAUCER ST,Berkeley,CA
22090771,THEFT FELONY (OVER $950),06/25/2022 12:00:00 AM,4:00:00 PM,LARCENY,6,10/13/2022 04:42:00 PM,"1500 BLOCK OLYMPUS AVE
Berkeley, CA
(37.8818, -122.25109)",1500 BLOCK OLYMPUS AVE,Berkeley,CA
22020687,BURGLARY RESIDENTIAL,05/04/2022 12:00:00 AM,10:18:00 PM,BURGLARY - RESIDENTIAL,3,10/13/2022 04:42:00 PM,"2300 BLOCK DURANT AVE
Berkeley, CA
(37.86725, -122.26326)",2300 BLOCK DURANT AVE,Berkeley,CA
22031716,DISTURBANCE,07/12/2022 12:00:00 AM,12:30:00 PM,DISORDERLY CONDUCT,2,10/13/2022 04:42:00 PM,"2300 BLOCK TELEGRAPH AVE
Berkeley, CA
(37.8685, -122.25916)",2300 BLOCK TELEGRAPH AVE,Berkeley,CA
22041507,ASSAULT/BATTERY MISD.,09/02/2022 12:00:00 AM,8:00:00 AM,ASSAULT,5,10/13/2022 04:42:00 PM,"2100 BLOCK CARLETON ST
Berkeley, CA
(37.86128, -122.26681)",2100 BLOCK CARLETON ST,Berkeley,CA
22091166,THEFT FELONY (OVER $950),09/09/2022 12:00:00 AM,4:35:00 AM,LARCENY,5,10/13/2022 04:42:00 PM,"1500 BLOCK DELAWARE ST
Berkeley, CA
(37.87318, -122.28129)",1500 BLOCK DELAWARE ST,Berkeley,CA
22026546,ROBBERY,06/09/2022 12:00:00 AM,9:20:00 PM,ROBBERY,4,10/13/2022 04:42:00 PM,"CARLETON ST /  FULTON ST
Berkeley, CA
(37.86157, -122.26468)",CARLETON ST /  FULTON ST,Berkeley,CA
22090512,THEFT FELONY (OVER $950),04/24/2022 12:00:00 AM,4:11:00 PM,LARCENY,0,10/13/2022 04:42:00 PM,"2700 BLOCK DURANT AVE
Berkeley, CA
(37.86836, -122.2543)",2700 BLOCK DURANT AVE,Berkeley,CA
22042355,VANDALISM,09/11/2022 12:00:00 AM,1:07:00 AM,VANDALISM,0,10/13/2022 04:42:00 PM,"2700 BLOCK CHANNING WAY
Berkeley, CA
(37.86751, -122.25405)",2700 BLOCK CHANNING WAY,Berkeley,CA
22031976,BURGLARY AUTO,07/08/2022 12:00:00 AM,6:00:00 PM,BURGLARY - VEHICLE,5,10/13/2022 04:42:00 PM,"OXFORD ST /  ALLSTON WAY
Berkeley, CA
(37.86968, -122.26589)",OXFORD ST /  ALLSTON WAY,Berkeley,CA
